eid,title,published date,cited by count
2-s2.0-84994251966,Pressure pain threshold is higher in hypertensive compared with normotensive older adults: A case–control study,2017-06-01,11
2-s2.0-84992386958,Empathy is Associated with Meaning of Life and Mental Health Treatment but not Religiosity Among Brazilian Medical Students,2017-06-01,21
2-s2.0-84979995655,Palliative care for terminally ill patients in the intensive care unit: Systematic review and metaanalysis,2017-06-01,30
2-s2.0-84966397927,Agaricus brasiliensis (sun mushroom) affects the expression of genes related to cholesterol homeostasis,2017-06-01,21
2-s2.0-84961127310,"Coffee, maté, açaí and beans are the main contributors to the antioxidant capacity of Brazilian’s diet",2017-06-01,27
2-s2.0-85020000100,Weather and children's physical activity; How and why do relationships vary between countries?,2017-05-30,94
2-s2.0-85065758645,"Translation and adaptation of ""Perception of Severity of Chronic Illness"" to the Brazilian culture for adolescents Tradução e adaptação do “Perception of Severity of Chronic Illness” à cultura brasileira em adolescentes",2017-05-29,3
2-s2.0-85055806141,Mental health care network: the views of coordinators of the Family Health Strategy (FHS) Rede de cuidado em saúde mental: visão dos coordenadores da estratégia saúde da família,2017-05-29,13
2-s2.0-84978532266,Diet enriched with the Amazon fruit açaí (Euterpe oleracea) prevents electrophysiological deficits and oxidative stress induced by methyl-mercury in the rat retina,2017-05-28,15
2-s2.0-84978499148,Mauritia flexuosa L. protects against deficits in memory acquisition and oxidative stress in rat hippocampus induced by methylmercury exposure,2017-05-28,21
2-s2.0-85018181430,"Evaluation of Dietary Intake, Leisure-Time Physical Activity, and Metabolic Profile in Women with Mutation in the LMNA Gene",2017-05-19,3
2-s2.0-85018179525,"Crosstalk Between Bone and Fat Tissue: Associations Between Vitamin D, Osteocalcin, Adipokines, and Markers of Glucose Metabolism Among Adolescents",2017-05-19,14
2-s2.0-85065804638,Professional autonomy and nursing: representations of health professionals Autonomia profissional e enfermagem: representações de profissionais de saúde,2017-05-18,9
2-s2.0-85065774112,Participatory methodologies in research with children: creative and innovative approaches Metodologias participativas em pesquisa com crianças: abordagens criativas e inovadoras,2017-05-18,4
2-s2.0-85065772114,Monitoring practices in municipal healthcare management and their interface with nursing Práticas de monitoramento na gestão municipal em saúde e sua interface com a enfermagem,2017-05-18,2
2-s2.0-85065770743,Knowledge about the human immunodeficiency syndrome among elders in a unit for the care of the elderly Conhecimento sobre síndrome da imunodeficiência humana de idosos de uma unidade de atenção ao idoso,2017-05-18,5
2-s2.0-85065755747,Application of the therapeutic relationship to people with common mental disorder Aplicação do relacionamento terapêutico a pessoas com transtorno mental comum,2017-05-18,5
2-s2.0-85060866265,Factors associated with smoking initiation among school-aged adolescents Fatores associados à iniciação tabágica em adolescentes escolares,2017-05-18,7
2-s2.0-85054795545,High-Fat and Fat-Enriched Diets Impair the Benefits of Moderate Physical Training in the Aorta and the Heart in Rats,2017-05-18,5
2-s2.0-85032688274,Self-medication among nursing students in the state of Amazonas - Brazil Automedicação em estudantes de enfermagem do Estado do Amazonas – Brasil,2017-05-18,35
2-s2.0-85046989828,Factors associated with suicidal ideation among university students,2017-05-15,48
2-s2.0-85020684379,"Vitamin D status in renal transplant recipients living in a low-latitude city: Association with body fat, cardiovascular risk factors, estimated glomerular filtration rate and proteinuria",2017-05-14,7
2-s2.0-85020193653,Waist circumference as a predictor of mortality in peritoneal dialysis patients: A follow-up study of 48 months,2017-05-14,19
2-s2.0-85065772865,Patient safety in the care of hospitalised children: evidence for paediatric nursing Segurança do paciente no cuidado à criança hospitalizada: evidências para enfermagem pediátrica,2017-05-04,20
2-s2.0-85065766453,Permanent education in primary health care: perception of local health managers Educação permanente em saúde na atenção básica: percepção dos gestores municipais de saúde,2017-05-04,15
2-s2.0-85065759244,The use of medicinal plants and the role of faith in family care O uso das plantas medicinais e o papel da fé no cuidado familiar,2017-05-04,4
2-s2.0-85048522208,Palliative care in paediatric oncology in nursing education Cuidado paliativo em oncologia pediátrica na formação do enfermeiro,2017-05-04,8
2-s2.0-85012299326,The Role of Social Support for Patients with Mental Disorders in Primary Care in Brazil,2017-05-04,5
2-s2.0-84991508776,Phenolic Extracts from Clerodendrum volubile Leaves Inhibit Cholinergic and Monoaminergic Enzymes Relevant to the Management of Some Neurodegenerative Diseases,2017-05-04,38
2-s2.0-84983317365,Protein Malnutrition Pre- and Postnatal and Nutritional Rehabilitation Modulates the Morphology of Muscle Fibers in Wistar Rats,2017-05-04,0
2-s2.0-85054076668,Nursing in cardiology: state of the art and frontiers of knowledge,2017-05-01,2
2-s2.0-85051281571,Adult women's experiences of urinary incontinence: A systematic review of qualitative evidence,2017-05-01,61
2-s2.0-85046301543,Low completion rate of hepatitis B vaccination in female sex workers,2017-05-01,7
2-s2.0-85046300751,Influence of hormonal contraceptives and the occurrence of stroke: integrative review,2017-05-01,12
2-s2.0-85046296324,Promoting oral care in the preschool child: effects of a playful learning intervention,2017-05-01,16
2-s2.0-85046290425,Opioid analgesic administration in patients with suspected drug use,2017-05-01,0
2-s2.0-85046289983,Cross-cultural adaptation and validation of the stoma quality of life questionnaire for patients with a colostomy or ileostomy in Brazil: A cross-sectional study,2017-05-01,17
2-s2.0-85046289206,Use of technologies in intravenous therapy: contributions to a safer practice,2017-05-01,9
2-s2.0-85046288492,Terms of the specialized nursing language for the care of ostomates,2017-05-01,4
2-s2.0-85046286600,Nursing appointment and cardiometabolic control of diabetics: a randomized clinical trial,2017-05-01,6
2-s2.0-85046286517,Cancellation of elective surgeries in a Brazilian public hospital: reasons and estimated reduction,2017-05-01,15
2-s2.0-85046286314,Care path of person with stroke: from onset to rehabilitation,2017-05-01,12
2-s2.0-85046284280,Virtual learning object and environment: a concept analysis,2017-05-01,14
2-s2.0-85046283142,Cost of nursing most frequent procedures performed on severely burned patients,2017-05-01,9
2-s2.0-85046278090,Comprehension of the education handout and health literacy of pacemaker users,2017-05-01,7
2-s2.0-85046275993,"High prevalence of enteroparasites in children from Ribeirão Preto, São Paulo, Brazil",2017-05-01,14
2-s2.0-85046266061,Nursing Activities Score and Acute Kidney Injury,2017-05-01,14
2-s2.0-85046264857,Continuing education in health from the perspective of Augustine of Hippo,2017-05-01,1
2-s2.0-85046261075,Violence against children and adolescents: the perspective of Primary Health Care,2017-05-01,15
2-s2.0-85046257186,The experience of rural families in the face of cancer,2017-05-01,6
2-s2.0-85046257111,Teaching-learning evaluation on the ICNP® using virtual learning environment,2017-05-01,17
2-s2.0-85046251658,Use of the Diffusion of Innovation Model in venous ulcers by specialized professionals,2017-05-01,2
2-s2.0-85046248148,Health Conditions and Memory Performance: a study with older adult women,2017-05-01,3
2-s2.0-85045286243,Guide for interpersonal process of help in nursing to relatives of the critical patient Guia para o processo de ajuda interpessoal de enfermagem ao familiar do paciente crítico Guía para el proceso de ayuda interpersonal de enfermería al familiar del paciente crítico,2017-05-01,1
2-s2.0-85045276898,Inclusion of initial assistance of burn victims in the curriculum for undergraduate nursing courses Inserção do tema atendimento inicial ao queimado no currículo de cursos de graduação em enfermagem Inserción del tema atención inicial al quemado en el currículo de pregrado en enfermería,2017-05-01,1
2-s2.0-85045275803,Ludic representations of nursing students about the systematization of nursing care Representações lúdicas de estudantes de enfermagem acerca da sistematização da assistência de enfermagem Representaciones lúdicas de estudiantes de enfermería acerca de la sistematización de la atención de enfermería,2017-05-01,0
2-s2.0-85045260632,Women’s perception of their first labor experience: Implications for nursing Percepção das mulheres sobre a experiência do primeiro parto: Implicações para o cuidado de enfermagem Percepción de las mujeres en la experiencia del primer parto: Implicaciones para enfermería,2017-05-01,12
2-s2.0-85045257750,Clinical reasoning in nursing: teaching strategies and assessment tools,2017-05-01,68
2-s2.0-85045256597,Mixed wards in psychiatry: Records of nursing care on a new assistance space in Brazil (1996-2002) Enfermarias mistas em psiquiatria: Memória da enfermagem sobre um novo espaço assistencial no Brasil (1996-2002) Enfermerías mixtas en psiquiatría: Memoria de la enfermería sobre un nuevo espacio asistencial en Brasil (1996-2002),2017-05-01,0
2-s2.0-85045238939,Factors associated with nursing workload in the intensive care units: Integrative review Fatores associados à carga de trabalho de enfermagem em unidade de terapia intensiva: Revisão integrativa Factores asociados con la carga de trabajo de enfermería en la unidad de cuidados intensivos: Revisión integradora,2017-05-01,4
2-s2.0-85045232369,Sociodemographic and obstetric aspects of severe maternal morbidity Aspectos sociodemográficos e obstétricos da morbidade materna grave Aspectos sociodemográficos y obstétricos de la morbilidad materna grave,2017-05-01,4
2-s2.0-85041171620,Integrality of care: challenges for the nurse practice,2017-05-01,11
2-s2.0-85033592622,Insulin therapy waste produced in the households of people with diabetes monitored in Primary Care,2017-05-01,24
2-s2.0-85032803537,Fish oil and treadmill exercise have age-dependent effects on episodic memory and oxidative state of the hippocampus,2017-05-01,9
2-s2.0-85030760075,Guide of attributes of the nurse's political competence: a methodological study,2017-05-01,15
2-s2.0-85028361785,Difficulties of living with HIV/AIDS: Obstacles to quality of life,2017-05-01,27
2-s2.0-85028359316,Concept analysis of nursing care management in the hospital context,2017-05-01,32
2-s2.0-85028346352,Care protocols with risk classification in pediatrics: Inter-observer reliability,2017-05-01,7
2-s2.0-85028344819,Laryngotracheal mucosa injury and associated factors after endotracheal extubation: A pilot study,2017-05-01,2
2-s2.0-85028343726,Epidemiological profile of patients on the waiting list for renal transplantation,2017-05-01,5
2-s2.0-85028340198,Validação de mensagens telefônicas para promoção da saúde de pessoas com HIV,2017-05-01,5
2-s2.0-85028337715,Nursing Education: Conceptualizing a pedagogical project from the view of professors,2017-05-01,2
2-s2.0-85028337596,Profile of accidents in children and adolescents receiving care at a public hospital,2017-05-01,9
2-s2.0-85028332589,Questionnaire for assessment of HIV/AIDS control actions in the primary care,2017-05-01,4
2-s2.0-85028332013,Care planning for patients receiving palliative care in an oncology intensive care unit,2017-05-01,6
2-s2.0-85028321396,Effect of Astrocaryum aculeatum (tucumã) on doxorubicin toxicity: In vivo experimental model,2017-05-01,13
2-s2.0-85028318639,"Environment, health & sustainability in the context of cities",2017-05-01,1
2-s2.0-85028318479,Hospitalizations of children for preventable conditions in the state of Parana: Causes and trends,2017-05-01,3
2-s2.0-85028311092,Factors related to leisure-time physical inactivity in obese women,2017-05-01,3
2-s2.0-85028296749,Lighting impact on the emotional expression of pregnant women: A randomized clinical trial,2017-05-01,3
2-s2.0-85028295675,Associação entre intensidades de dor e sedação em pacientes de terapia intensiva,2017-05-01,2
2-s2.0-85028190698,Safety Assessment and Botanical Standardization of an Edible Species from South America,2017-05-01,10
2-s2.0-85027141899,Role of fruits and vegetables in adolescent cardiovascular health: A systematic review,2017-05-01,46
2-s2.0-85027017891,Prophylaxis of venous thromboembolism in home care,2017-05-01,1
2-s2.0-85023207720,Factors associated with the iron nutritional status of Brazilian children aged 4 to 7 years,2017-05-01,4
2-s2.0-85023205526,Evaluation practices in the field of Food and Nutrition,2017-05-01,1
2-s2.0-85023186756,Preferences for menu labelling formats of young adults in Brazil and in the United Kingdom,2017-05-01,9
2-s2.0-85023182382,Feeding in full-time public schools: Do students adhere and accept?,2017-05-01,5
2-s2.0-85023170261,"Associations between taste sensitivity, preference for sweet and salty flavours, and nutritional status of adolescents from public schools",2017-05-01,5
2-s2.0-85023168081,Nutritional problems in older adults with Alzheimer's disease: Risk of malnutrition and sarcopenia,2017-05-01,6
2-s2.0-85023166912,Cross-cultural adaptation and content validation into Portuguese of the Subjective Global Nutritional Assessment for pediatric patients hospitalized with cancer,2017-05-01,4
2-s2.0-85023166180,"Anthropometric indicators as a screening tool for sarcopenia in older adults from Florianópolis, Santa Catarina: EpiFloripa Ageing study",2017-05-01,15
2-s2.0-85023165261,Factors associated with diet quality of older adults,2017-05-01,18
2-s2.0-85023163058,Association between screen time and dietary patterns and overweight/obesity among adolescents,2017-05-01,29
2-s2.0-85021892815,Invasive mechanical ventilation: Concerns over terminal extubation,2017-05-01,0
2-s2.0-85019758578,Detoxification of aflatoxin M1 (AFM1) in dairy base beverages (Acidophilus milk) by using different types of lactic acid bacteria-mini review,2017-05-01,43
2-s2.0-85019225394,Establishing face validity of the EPLIT questionnaire,2017-05-01,4
2-s2.0-85019090275,Fish oil supplementation benefits the murine host during the acute phase of a parasitic infection from Trypanosoma cruzi,2017-05-01,9
2-s2.0-85019044596,"Dietary BCAA intake is associated with demographic, socioeconomic and lifestyle factors in residents of São Paulo, Brazil",2017-05-01,11
2-s2.0-85017652483,Linear and non-linear contributions to oxygen transport and utilization during moderate random exercise in humans,2017-05-01,11
2-s2.0-85017523152,The FAST-ED App: A Smartphone Platform for the Field Triage of Patients with Stroke,2017-05-01,70
2-s2.0-85017191924,Bioactive compounds of the Ubá mango juices decrease inflammation and hepatic steatosis in obese Wistar rats,2017-05-01,15
2-s2.0-85017149348,"Hypertroponinemia, Structural Cardiac Disease, and Stroke Mortality",2017-05-01,3
2-s2.0-85016500385,"Lipid profile, changes in laboratory prescriptions are necessary",2017-05-01,4
2-s2.0-85016227819,"Ramadan model of intermittent fasting for 28 d had no major effect on body composition, glucose metabolism, or cognitive functions in healthy lean men",2017-05-01,64
2-s2.0-85016223582,Supplementation with concentrated milk protein in patients undergoing hematopoietic stem cell transplantation,2017-05-01,9
2-s2.0-85016217494,Association between polyunsaturated fatty acids and inflammatory markers in patients in secondary prevention of cardiovascular disease,2017-05-01,30
2-s2.0-85014478885,"Lipid profile, the world needs to change",2017-05-01,2
2-s2.0-85013794351,Biallelic and triallelic approaches of 5-HTTLPR polymorphism are associated with food intake and nutritional status in childhood,2017-05-01,6
2-s2.0-85013678953,Virtual Reality–Based Physical Exercise With Exergames (PhysEx) Improves Mental and Physical Health of Institutionalized Older Adults,2017-05-01,38
2-s2.0-85013421514,"Thiamine deficiency, oxidative metabolic pathways and ethanol-induced neurotoxicity: How poor nutrition contributes to the alcoholic syndrome, as Marchiafava-Bignami disease",2017-05-01,52
2-s2.0-85013056986,Normalizing handgrip strength in older adults: An allometric approach,2017-05-01,30
2-s2.0-85010931106,Effect of Performance Time of the Semi-Occluded Vocal Tract Exercises in Dysphonic Children,2017-05-01,22
2-s2.0-85010903673,The beneficial effects of aerobic and concurrent training on metabolic profile and body composition after detraining: A 1-year follow-up in postmenopausal women,2017-05-01,32
2-s2.0-85008685960,Impact of Cricothyroid Muscle Contraction on Vocal Fold Vibration: Experimental Study with High-Speed Videoendoscopy,2017-05-01,8
2-s2.0-85006795175,Vocal Parameters and Self-Perception in Individuals With Adductor Spasmodic Dysphonia,2017-05-01,18
2-s2.0-85006321095,Acoustic and Auditory Perception Effects of the Voice Therapy Technique Finger Kazoo in Adult Women,2017-05-01,9
2-s2.0-85006312924,Effect of Levodopa + Carbidopa on the Laryngeal Electromyographic Pattern in Parkinson Disease,2017-05-01,5
2-s2.0-85006166608,Vocal Range in the Speech of Users of Low-Dose Oral Contraceptives,2017-05-01,5
2-s2.0-85005951002,High-speed Videolaryngoscopy: Quantitative Parameters of Glottal Area Waveforms and High-speed Kymography in Healthy Individuals,2017-05-01,21
2-s2.0-85005896296,Perturbation Measurements on the Degree of Naturalness of Synthesized Vowels,2017-05-01,4
2-s2.0-85005765015,The Effect of Surface Hydration on Teachers’ Voice Quality: An Intervention Study,2017-05-01,33
2-s2.0-85003014628,Are Vocal Alterations Caused by Smoking in Reinke's Edema in Women Entirely Reversible After Microsurgery and Smoking Cessation?,2017-05-01,18
2-s2.0-85002158023,Accuracy of Acoustic Analysis Measurements in the Evaluation of Patients With Different Laryngeal Diagnoses,2017-05-01,42
2-s2.0-84996847798,"Boston Naming Test (BNT) original, Brazilian adapted version and short forms: Normative data for illiterate and low-educated older adults",2017-05-01,17
2-s2.0-84994874821,"“Metabolically healthy” obesity: Prevalence, clinical features and association with myocardial ischaemia",2017-05-01,11
2-s2.0-84992702675,Weight Regain 10 Years After Roux-en-Y Gastric Bypass,2017-05-01,73
2-s2.0-84990989594,Overweight and abdominal obesity association with all-cause and cardiovascular mortality in the elderly aged 80 and over: A cohort study,2017-05-01,19
2-s2.0-84987644141,Evaluation of the psychometric properties of the main meal quality index when applied in the UK population,2017-05-01,5
2-s2.0-84966430209,Factors associated with health-related decision-making in older adults from Southern Brazil,2017-05-01,3
2-s2.0-85065798442,Evaluation of computer-generated guidelines for companions of paediatric patients undergoing chemotherapy Avaliação de orientações geradas por sistema computacional a acompanhantes de pacientes pediátricos submetidos à quimioterapia,2017-04-27,4
2-s2.0-85057861966,Changes in nursing practice to improve patient safety Mudanças na prática de enfermagem para melhorar a segurança do paciente,2017-04-27,13
2-s2.0-85018548942,"Oral β-hydroxybutyrate increases ketonemia, decreases visceral adipocyte volume and improves serum lipid profile in Wistar rats",2017-04-24,33
2-s2.0-85055609231,Caustic ingestions,2017-04-21,1
2-s2.0-85055606706,Esophageal motility,2017-04-21,0
2-s2.0-85065794468,Women's autonomy in the process of labour and childbirth: integrative literature review Autonomia feminina no processo de parto e nascimento: revisão integrativa da literatura,2017-04-20,18
2-s2.0-85065767818,Online information as support to the families of children and adolescents with chronic disease Informações on-line como suporte às famílias de crianças e adolescentes com doença crônica,2017-04-20,8
2-s2.0-85060065474,Nurses' training in the use of a delirium screening tool Capacitação de enfermeiros na utilização de um instrumento de avaliação de delirium,2017-04-20,10
2-s2.0-85060053411,Permanent education actions of nurse facilitators at a nursing education centre Ações de educação permanente dos enfermeiros facilitadores de um núcleo de educação em enfermagem,2017-04-20,7
2-s2.0-85055488129,Breastfeeding assessment instruments and their use in clinical practice Instrumentos de avaliação do aleitamento materno e seu uso na prática clínica,2017-04-20,26
2-s2.0-85050853507,The experience of rural families who remain in halfway houses during cancer treatment A experiência de famílias rurais que permanecem em casas de apoio durante tratamento oncológico,2017-04-20,3
2-s2.0-85033381108,Adherence to antiretroviral therapy by people living with HIV/AIDS in a municipality of São Paulo Adesão à terapêutica antirretroviral de pessoas vivendo com HIV/aids em um município do interior paulista,2017-04-20,38
2-s2.0-85018501392,Fructose consumption in the development of obesity and the effects of different protocols of physical exercise on the hepatic metabolism,2017-04-20,110
2-s2.0-85018467326,Preoperative carbohydrate load and intraoperatively infused omega-3 polyunsaturated fatty acids positively impact nosocomial morbidity after coronary artery bypass grafting: A double-blind controlled randomized trial,2017-04-20,23
2-s2.0-85065798086,A produção do conhecimento e as estratégias para incorporação dos resultados à prática de enfermagem The production of knowledge and the strategies to incorporate results into the practice of nursing,2017-04-13,0
2-s2.0-85018514366,Family reintegration of homeless in Maputo and Matola: A descriptive study,2017-04-11,12
2-s2.0-85065789215,Patient safety: characterization of YouTube videos Segurança do paciente: caracterização de vídeos do YouTube,2017-04-10,9
2-s2.0-85065768395,User satisfaction with the care of nurses Satisfação dos usuários com os cuidados dos enfermeiros,2017-04-10,13
2-s2.0-85065776032,Educational video as a healthcare education resource for people with colostomy and their families Vídeo educativo como recurso para educação em saúde a pessoas com colostomia e familiares,2017-04-06,28
2-s2.0-85060772179,Educational action research on Facebook®: combining leisure and learning Pesquisa-ação educativa no Facebook®: aliando lazer e aprendizado,2017-04-06,2
2-s2.0-85056364258,Home intervention as a tool for nursing care: evaluation of the satisfaction of the elderly Intervenção domiciliar como ferramenta para o cuidado de enfermagem: avaliação da satisfação de idosos,2017-04-06,5
2-s2.0-85054909773,Implementation of care practices to prevent and repair perineal trauma in childbirth Implementação de práticas assistenciais para prevenção e reparo do trauma perineal no parto,2017-04-06,7
2-s2.0-85065802347,Contributions of Paulo Freire to understanding the dialogic leadership exercise of nurses in the hospital setting Contribuições freirianas para entender o exercício da liderança dialógica dos enfermeiros no ambiente hospitalar,2017-04-04,12
2-s2.0-85018873268,Overweight and Obesity Associated with Higher Depression Prevalence in Adults: A Systematic Review and Meta-Analysis,2017-04-03,243
2-s2.0-85010703235,Effect of Nutritional Supplementation Enriched with Eicosapentaenoic Acid on Inflammatory Profile of Patients With Oral Cavity Cancer in Antineoplastic Pretreatment: A Controlled and Randomized Clinical Trial,2017-04-03,14
2-s2.0-85054081784,Viral hepatitis: a challenge for nursig,2017-04-01,1
2-s2.0-85050637445,Effectiveness of the manchester triage system on time to treatment in the emergency department: A systematic review protocol,2017-04-01,5
2-s2.0-85049485900,Episodes of caring for women with mental disorders in primary care Episódios de cuidado a mulheres com transtornos mentais na Atenção Básica Episodios de cuidado a mujeres con trastornos mentales en la atención primaria,2017-04-01,0
2-s2.0-85049485428,Social representations of the nurse profesional autonomy in wounds prevention and treatment Representaciones sociales de la autonomía profesional del enfermero en la prevención y tratamiento de las heridas Representações sociais de autonomia profissional do enfermeiro na prevenção e tratamento de feridas,2017-04-01,0
2-s2.0-85049480223,Evidence on the safety of patients as victims of motorbike accidents in the light of Donabedian-proposed model Evidências sobre a segurança do paciente vítima de acidente motociclístico à luz do modelo proposto por Donabedian Evidencias sobre la seguridad del paciente víctima de accidente motociclistico a la luz del modelo propuesto por Donabedian,2017-04-01,1
2-s2.0-85049476351,Multidisciplinary treatment for third degree obese adults Tratamento multiprofissional para adultos obesos grau III Tratamiento multidisciplinario para los adultos obesos grado III,2017-04-01,0
2-s2.0-85049469505,Analysis of patient safety in health's environment Análisis de la seguridad del paciente en ambientes de salud Análise da segurança do paciente em ambienes de saúde,2017-04-01,0
2-s2.0-85049465170,Assessment of trauma after motorbike accidents assisted by a pre-hospital emergency mobile service Avaliação do trauma nos acidentes com motocicletas atendidos por um serviço pré-hospitalar móvel de urgência Evaluación de trauma en accidentes de motocicleta atendidos por un servicio móvil pre-hospitalaria de urgencias,2017-04-01,1
2-s2.0-85049463331,Nursing care during labor and delivery: The women's perception Atención de enfermería durante el trabajo de parto y parto: La percepción de la mujer Assistência de enfermagem durante o trabalho de parto e parto: A percepção da mulher,2017-04-01,1
2-s2.0-85049462836,Diagnosis and treatment of children cancer: Implications in the caregiver's life Diagnóstico e tratamento do câncer infantil: Implicações para a vida do cuidador Diagnóstico y tratamiento del cáncer infantil: Implicaciones para la vida del cuidador,2017-04-01,0
2-s2.0-85049461991,Health-related orientation effects on the functional capability of people with varicose ulcer Efeito das orientações em saúde na capacidade funcional de pessoas com úlceras venosas Efecto de las orientaciones en salud en la capacidad funcional de las personas con úlcera varicosa,2017-04-01,1
2-s2.0-85049445538,Phenomenological approach for cervical cancer in pregnant women: Prevention aspects Abordagem fenomenológica do câncer do colo do útero em gestantes: Aspectos da prevenção Enfoque fenomenológico para el cáncer del cuello uterino en embarazadas: Aspectos de la prevención,2017-04-01,0
2-s2.0-85049420393,The social representations of health professionals about medicinal plants Representações sociais de profissionais da saúde acerca das plantas medicinais Representaciones sociales de profesionales de la salud acerca de las plantas medicinales,2017-04-01,0
2-s2.0-85037602666,Focus group on qualitative research: experience report,2017-04-01,69
2-s2.0-85037600531,Portable bathtub: technology for bed bath in bedridden patients,2017-04-01,4
2-s2.0-85037595997,The elderly recognizing themselves as vulnerable to falls in the concreteness of the femoral fracture,2017-04-01,5
2-s2.0-85037594832,Tuberculosis among prison staff in Rio Grande do Sul,2017-04-01,8
2-s2.0-85037594620,Nursing throughout war times: political propaganda and professional valorization (1942-1945),2017-04-01,3
2-s2.0-85037593127,Prevalence of Metabolic Syndrome in individuals with Type 2 Diabetes Mellitus,2017-04-01,17
2-s2.0-85037589990,Multi-professional team's perception of nurses' competences in liver transplantations,2017-04-01,13
2-s2.0-85037586141,Conformity of nurse prescribing to care needs: nurses' understanding,2017-04-01,3
2-s2.0-85037582788,Moral suffering among nurse educators of technical courses in nursing,2017-04-01,6
2-s2.0-85037581781,Knowledge of the nursing team on pressure ulcer prevention,2017-04-01,32
2-s2.0-85037579583,Nursing care protocol for patients with a ventricular assist device,2017-04-01,11
2-s2.0-85037579308,Impact of home visits on the functional capacity of patients with venous ulcers,2017-04-01,5
2-s2.0-85037576056,Direct cost of monitoring conventional hemodialysis conducted by nursing professionals,2017-04-01,9
2-s2.0-85037573930,Systematization of nursing care and the formation of professional identity,2017-04-01,27
2-s2.0-85037572645,The family in face of the elderly's reality of living alone,2017-04-01,3
2-s2.0-85037565342,Nasoenteral tube: factors associated with delay between indication and use in emergency services,2017-04-01,7
2-s2.0-85037558133,Self-esteem and health-related quality of life in ostomized patients,2017-04-01,26
2-s2.0-85037555979,Brazilian method for the development terminological subsets of ICNP®: limits and potentialities,2017-04-01,33
2-s2.0-85037553062,Semiotics and semiology of Nursing: evaluation of undergraduate students' knowledge on procedures,2017-04-01,10
2-s2.0-85037551830,Religious and spiritual coping in people living with HIV/Aids,2017-04-01,24
2-s2.0-85037550123,Nursing care in early childhood: contributions from intersubjective recognition,2017-04-01,4
2-s2.0-85035361683,Demographic and clinical profile of patients of chronic obstructive pulmonary disease in southern Brazil Perfil demográfico e clínico de portadores de doença pulmonar obstrutiva crônica no sul do Brasil PERFIL demográfico y clínico de pacientes portadores de enfermedad pulmonar obstructiva crónica en el sur de Brasil,2017-04-01,1
2-s2.0-85035337927,Family experience in household care for children with special needs of health A vivência da familia no cuidado domiciliar à criança com necessidades especiais de saúde La vivencia de la familia en el cuidado domiciliar al niño con necesidades especiales de salud,2017-04-01,6
2-s2.0-85035335318,The discourse of people taken ill by tuberculosis about the treatment adhesion O discurso de pessoas acometidas por tuberculose sobre a adesóo ao tratamento El discurso de personas afectadas por tuberculosis sobre la adhesión al tratamiento,2017-04-01,2
2-s2.0-85035331833,Diagnostic inference capacity of specialist nurses Capacidade de inferência diagnóstica de enfermeiros especialistas1 Capacidad de inferencia diagnóstica de enfermeras especialistas,2017-04-01,1
2-s2.0-85033974386,Hand hygiene as a caring practice: a reflection on professional responsibility,2017-04-01,10
2-s2.0-85033676296,Moral sensitivity in Primary Health Care nurses,2017-04-01,30
2-s2.0-85020550861,Reply to JM Cullin and CI Fernández,2017-04-01,1
2-s2.0-85020526664,Reply to la Schrader,2017-04-01,0
2-s2.0-85020517524,Reply to T Bhurosy et al.,2017-04-01,2
2-s2.0-85018546596,"Acute toxicity and cytotoxicity of pereskia aculeata, a highly nutritious cactaceae plant",2017-04-01,17
2-s2.0-85018498343,Carbohydrate Counting during Pregnancy in Women with Type 1 Diabetes: Are There Predictable Changes That We Should Know?,2017-04-01,8
2-s2.0-85017001244,Effects of functional training and calf stretching on risk of falls in older people: A pilot study,2017-04-01,4
2-s2.0-85016981473,Effects of the addition of a dual task to a supervised physical exercise program on older adults' cognitive performance,2017-04-01,23
2-s2.0-85016939841,Balance control and peripheral muscle function in aging: A comparison between individuals with acromegaly and healthy subjects,2017-04-01,23
2-s2.0-85016936978,Vitamin A oral supplementation induces oxidative stress and suppresses IL‐10 and HSP70 in skeletal muscle of trained rats,2017-04-01,32
2-s2.0-85016647069,"Effect of L-Carnitine Supplementation on Reverse Remodeling in Patients with Ischemic Heart Disease Undergoing Coronary Artery Bypass Grafting: A Randomized, Placebo-Controlled Trial",2017-04-01,14
2-s2.0-85016638471,Nursing care perspectives in high-risk pregnancy: Integrative review,2017-04-01,13
2-s2.0-85016633805,Quality of life and self-reported morbidity of productively active women,2017-04-01,1
2-s2.0-85016622232,Characterization of patients with an ileostomy that are treated on a reference service for patients with an ostomy,2017-04-01,1
2-s2.0-85016621130,Epidemiologic profile of acquired syphilis diagnosed and notified at a maternal-child university hospital,2017-04-01,10
2-s2.0-85016614016,Factors associated with condom use among young men who have sex with men,2017-04-01,5
2-s2.0-85016609383,Chronic noncommunicable diseases and the stress of nursing workers in surgical units Doenças crônicas não transmissíveis e o estresse dos trabalhadores de enfermagem de bloco cirúrgico,2017-04-01,4
2-s2.0-85016597894,Clinical-epidemiological elements of family interviews for donation of organs and tissues,2017-04-01,2
2-s2.0-85016583168,Physical appearance and repercussions on the quality of life and the autonomy of elderly people affected by leprosy,2017-04-01,2
2-s2.0-85016565859,Health education in school context: Revision study integrative,2017-04-01,7
2-s2.0-85016560117,Theoretical and practical knowledge of the nurse on Nursing Process and Systematization of nursing,2017-04-01,7
