Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Telefone,Sitio,e-Mail,Endereço Sede,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,Situação da IES,Data de Descredenciamento,eid,afid,name,domain,url,variants,name_match,url_match,domain_match,variant_match
277,CENTRO DE ENSINO UNIFICADO DE BRASILIA CEUB,00.059.857/0001-87,Privada sem fins lucrativos,402,CENTRO UNIVERSITÁRIO DE BRASÍLIA (UNICEUB),UNICEUB,(61) 39661248,www.uniceub.br,regulacao@uniceub.br,Eqn 707 907 Conjunto C - S/N - CEP: 70790-075 - Asa Norte,Brasília,DF,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1968-04-26,5,2024.0,5,2019.0,4,2023.0,,,,Ativa,,10-s2.0-60228316,60228316,Centro Universitário de Brasília – UniCEUB,uniceub.br,https://www.uniceub.br/,"['University Center of Brasília – UniCEUB', 'Centro Universitário de Brasília – UniCEUB']",0,1,1,0
359,CENTRO DE ENSINO UNIFICADO DO DISTRITO FEDERAL LTDA,00.078.220/0001-38,Privada com fins lucrativos,518,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL (UDF),UDF,(61) 37048805,www.udf.edu.br,aleao@udf.edu.br,SEP - SUL EQ 704 / 904 Conjunto A - S/N - CEP: 70390-045 - Asa Sul,Brasília,DF,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1969-01-31,5,2023.0,-,,3,2023.0,,,,Ativa,,10-s2.0-126243783,126243783,Centro Universitário Planalto do Distrito Federal (UNIPLAN),,,"['Centro Universitário Planalto Do Distrito Federal/uniplan', 'Centro Universitário Planalto Do Distrito Federal (uniplan)', 'Centro Universitário Do Distrito Federal']",0,0,0,1
359,CENTRO DE ENSINO UNIFICADO DO DISTRITO FEDERAL LTDA,00.078.220/0001-38,Privada com fins lucrativos,518,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL (UDF),UDF,(61) 37048805,www.udf.edu.br,aleao@udf.edu.br,SEP - SUL EQ 704 / 904 Conjunto A - S/N - CEP: 70390-045 - Asa Sul,Brasília,DF,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1969-01-31,5,2023.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60288013,60288013,University Centre of the Federal District,udf.edu.br,https://www.udf.edu.br/,"['Centro Universitário do Distrito Federal', 'University Centre of the Federal District', 'Centro de Ensino Unificado do Distrito Federal']",0,1,1,1
1086,IESST - INSTITUTO DE ENSINO SUPERIOR SOCIAL E TECNOLOGICO,03.316.456/0001-53,Privada com fins lucrativos,1660,CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA (ESTÁCIO BRASÍLIA),ESTÁCIO BRASÍLIA,,www.estacio.br,cgfacitec@gmail.com;regulatorio.nacional@estacio.br,CSG 09 - Lotes 15/16 - CEP: 72035-509 - Taguatinga,Brasília,DF,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada com fins lucrativos,2001-02-19,5,2024.0,4,2020.0,3,2023.0,,,,Ativa,,10-s2.0-60022378,60022378,Universidade Estacio de Sa,estacio.br,http://www.estacio.br,"['Estacio de Sa University', 'Universidade Estacio de Sa']",0,1,1,0
1086,IESST - INSTITUTO DE ENSINO SUPERIOR SOCIAL E TECNOLOGICO,03.316.456/0001-53,Privada com fins lucrativos,1660,CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA (ESTÁCIO BRASÍLIA),ESTÁCIO BRASÍLIA,,www.estacio.br,cgfacitec@gmail.com;regulatorio.nacional@estacio.br,CSG 09 - Lotes 15/16 - CEP: 72035-509 - Taguatinga,Brasília,DF,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada com fins lucrativos,2001-02-19,5,2024.0,4,2020.0,3,2023.0,,,,Ativa,,10-s2.0-60003597,60003597,Universidade Estacio de Sa Faculdade de Medicina,estacio.br,http://www.estacio.br,"['Estacio de Sa University Faculty of Medicine', 'Universidade Estacio de Sa Faculdade de Medicina']",0,1,1,0
770,"INSTITUTO EURO-AMERICANO DE EDUCACAO, CIENCIA E TECNOLOGIA S.A.",37.174.034/0001-02,Privada com fins lucrativos,1113,CENTRO UNIVERSITÁRIO EURO-AMERICANO (UNIEURO),UNIEURO,(61) 3445 5888,www.unieuro.edu.br,ntae@ceuma.br;ceuma.pesquisador@gmail.com;,SCES Trecho 0 - Conjunto 5 - s/n - CEP: 70200-001 - Asa Sul,Brasília,DF,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada com fins lucrativos,1998-06-04,4,2018.0,4,2023.0,4,2023.0,,,,Ativa,,10-s2.0-101773772,101773772,Centro Universitário Euro Americano,,,"['Centro Universitário Euro-americano', 'Centro Universitário Euro Americano', 'Centro Universitário Euro-americano (unieuro)', 'Centro Universitário Euro Americano (unieuro)', 'The Centro Universitário Euro-americano De Brasília (unieuro)', 'Núcleo Da Saúde - Centro Universitário Euro-americano (unieuro)', 'Centro Universitário Euroamericano - Unieuro', 'Centro Universitário Euroamericano (unieuro)', 'Centro Universitário Euroamericano', 'Centro Universitário Euro-americano (unieuro-df)']",0,0,0,3
519,ASSOBES ENSINO SUPERIOR LTDA.,01.711.282/0001-06,Privada com fins lucrativos,1446,CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN (UNIPLAN),UNIPLAN,(11) 5586 4291,,pigeral@unip.br;pigeral2020@gmail.com,Avenida Pau Brasil - 02 - CEP: 71926-000 - Sul (Águas Claras),Brasília,DF,Centro Universitário,EAD - Superior / Presencial - Superior /,Privada,Privada com fins lucrativos,1990-03-06,3,2023.0,4,2019.0,2,2023.0,,,,Ativa,,10-s2.0-108359401,108359401,Planalto University Center of Distrito Federal (UNIPLAN),,,"['Centro Universitário Planalto Do Distrito Federal (uniplan)', 'Planalto University Center Of Distrito Federal (uniplan)', 'Planalto University Center Of The Federal District (uniplan)', 'Universidade Planalto Do Distrito Federal - Uniplan', 'Centro Universitário Planalto Do Distrito Federal - Uniplan', 'Centro Universitário Planalto Do Distrito Federal (uniplan). Faculdade De Fonoaudiologia . Brasília', 'Centro Universitário Planalto Do Distrito Federal', 'Centro Universitrio Planalto Do Distrito Federal-uniplan-audiology Unit']",0,0,0,1
12442,ESCOLA DE ADMINISTRACAO FAZENDARIA,02.317.176/0001-05,Pessoa Jurídica de Direito Público - Federal,15705,ESCOLA DE ADMINISTRAÇÃO FAZENDÁRIA (ESAF),ESAF,,http://www.esaf.fazenda.gov.br,esaf.df@fazenda.gov.br,"Rodovia DF-001 km 27,4 Escola de Administração Fazendária (ESAF) - - - CEP: 71686-900 - Setor de Habitações Individuais Sul",Brasília,DF,Escola de Governo,Escola do Governo,Publica,Pública Federal,2017-05-23,4,2015.0,-,,-,,,,,Ativa,,10-s2.0-101752253,101752253,Escola de Administração Fazendária do Ministério da Fazenda,,,"['Escola De Administração Fazendária Do Ministério Da Fazenda', 'Escola De Administração Fazendária']",0,0,0,1
15752,FUNDACAO ESCOLA NACIONAL DE ADMINISTRACAO PUBLICA,00.627.612/0001-09,Pessoa Jurídica de Direito Público - Federal,17617,ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA (ENAP),ENAP,(61) 2020 3000,https://enap.gov.br/pt/,cgmba@enap.gov.br,SAIS Área 2A - - CEP: 70610-900 - Asa Sul,Brasília,DF,Escola de Governo,Escola do Governo,Publica,Pública Federal,2017-05-23,4,2015.0,-,,-,,,,,Ativa,,10-s2.0-113432856,113432856,Escola Nacional de Administração Pública,,,[],1,0,0,0
15752,FUNDACAO ESCOLA NACIONAL DE ADMINISTRACAO PUBLICA,00.627.612/0001-09,Pessoa Jurídica de Direito Público - Federal,17617,ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA (ENAP),ENAP,(61) 2020 3000,https://enap.gov.br/pt/,cgmba@enap.gov.br,SAIS Área 2A - - CEP: 70610-900 - Asa Sul,Brasília,DF,Escola de Governo,Escola do Governo,Publica,Pública Federal,2017-05-23,4,2015.0,-,,-,,,,,Ativa,,10-s2.0-114265830,114265830,Escola Nacional de Administração Pública - Enap,,,"['Escola Nacional De Administração Pública - Enap', 'Escola Nacional De Administração Pública-enap', 'Escola Nacional De Administração Pública (enap)']",0,0,0,1
12580,ESCOLA SUPERIOR DO MINISTERIO PUBLICO DA UNIAO,03.920.829/0001-09,Pessoa Jurídica de Direito Público - Federal,13630,ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO DA UNIÃO (ESMPU),ESMPU,(61) 3553-5320,http://escola.mpu.mp.br,dirge@escola.mpu.mp.br,Quadra SGAS 604 - - CEP: 70200-640 - Asa Sul,Brasília,DF,Escola de Governo,Escola do Governo,Publica,Pública Federal,2017-05-23,4,2016.0,-,,-,,,,,Ativa,,10-s2.0-121484782,121484782,Escola Superior do Ministério Público da União,,,"['Ministério Público Da União', 'Escola Superior Do Ministério Público Da União']",1,0,0,1
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Privada com fins lucrativos,1173,FACULDADE ANHANGUERA DE BRASÍLIA (Anhanguera DF),Anhanguera DF,0031-2126-0406,www.anhanguera.com,ddi@kroton.com.br; thales.pimentel@kroton.com.br,Quadra QS 1 Rua 210 - 40 - CEP: 71950-770 - Areal (Águas Claras),Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,1998-08-14,5,2023.0,-,,3,2023.0,,,Unificação de Mantidas,Ativa,,10-s2.0-112857207,112857207,Faculdade Anhanguera de Brasília,,,"['Faculdade Anhanguera De Brasília', 'Faculdade Anhanguera De Ciências E Tecnologia De Brasília', 'Faculdade Anhanguera De Ciência E Tecnologia De Brasília', 'Faculdade Mackenzie De Brasília', 'Faculdade Anhanguera De Ciência E Tecnologia De Brasília (faciteb)', 'Faculdade Anhanguera De Brasília/jk', 'Faculdade Anhanguera']",1,0,0,1
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Privada com fins lucrativos,1173,FACULDADE ANHANGUERA DE BRASÍLIA (Anhanguera DF),Anhanguera DF,0031-2126-0406,www.anhanguera.com,ddi@kroton.com.br; thales.pimentel@kroton.com.br,Quadra QS 1 Rua 210 - 40 - CEP: 71950-770 - Areal (Águas Claras),Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,1998-08-14,5,2023.0,-,,3,2023.0,,,Unificação de Mantidas,Ativa,,10-s2.0-60281103,60281103,Universidade Anhanguera de São Paulo,anhanguera.com,https://www.anhanguera.com/unidades/,"['Universidade Anhanguera de São Paulo', 'Anhanguera Educacional', 'Anhanguera Educational']",0,0,1,0
1509,SOEMOC - SOCIEDADE EDUCATIVA MOC LTDA,22.669.915/0001-27,Privada com fins lucrativos,4068,FACULDADE ICESP (ICESP),ICESP,(61)30359500,,,Quadra QS 5 Rua 300 - 01 - CEP: 71961-540 - Areal (Águas Claras),Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2004-12-29,4,2012.0,-,,3,2023.0,,,,Ativa,,10-s2.0-121361684,121361684,UNICEUB e Faculdade Icesp,,,"['Uniceub E Faculdade Icesp', 'Faculdade Icesp']",0,0,0,1
22,INSTITUTO PRESBITERIANO MACKENZIE,60.967.551/0001-50,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,19229,FACULDADE PRESBITERIANA MACKENZIE BRASILIA (FPMB),FPMB,6135219300,http://www.mackenzie.br/,abilio.coelho@mackenzie.br;secretaria.bsb@mackenzie.br,Quadra SGAS 906 - LOTES 8 E 9 - CEP: 70390-060 - Asa Sul,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2016-11-18,5,2022.0,-,,-,,,,,Ativa,,10-s2.0-60011644,60011644,Universidade Presbiteriana Mackenzie,mackenzie.br,https://www.mackenzie.br/universidade,"['Mackenzie Presbyterian University', 'Universidade Presbiteriana Mackenzie']",0,0,1,0
22,INSTITUTO PRESBITERIANO MACKENZIE,60.967.551/0001-50,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,19229,FACULDADE PRESBITERIANA MACKENZIE BRASILIA (FPMB),FPMB,6135219300,http://www.mackenzie.br/,abilio.coelho@mackenzie.br;secretaria.bsb@mackenzie.br,Quadra SGAS 906 - LOTES 8 E 9 - CEP: 70390-060 - Asa Sul,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2016-11-18,5,2022.0,-,,-,,,,,Ativa,,10-s2.0-60291225,60291225,Instituto Presbiteriano Mackenzie,mackenzie.br,https://www.mackenzie.br/instituto,"['Instituto Presbiteriano Mackenzie', 'Mackenzie Presbyterian Institute']",0,0,1,0
22,INSTITUTO PRESBITERIANO MACKENZIE,60.967.551/0001-50,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,19229,FACULDADE PRESBITERIANA MACKENZIE BRASILIA (FPMB),FPMB,6135219300,http://www.mackenzie.br/,abilio.coelho@mackenzie.br;secretaria.bsb@mackenzie.br,Quadra SGAS 906 - LOTES 8 E 9 - CEP: 70390-060 - Asa Sul,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2016-11-18,5,2022.0,-,,-,,,,,Ativa,,10-s2.0-60006185,60006185,Faculdade Evangélica Mackenzie do Paraná,mackenzie.br,https://www.mackenzie.br/faculdades/curitiba/home,"['Faculdade Evangélica Mackenzie do Paraná', 'Mackenzie Evangelical College of Paraná']",0,0,1,0
2261,JUNTA ADMINISTRATIVA DA FACULDADE TEOLOGICA BATISTA DE BRASILIA,00.505.172/0001-17,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,3573,FACULDADE TEOLÓGICA BATISTA DE BRASÍLIA (FTBB),FTBB,(61) 3272 1136,www.ftbb.edu.br,secretaria@ftbb.edu.br,Quadra SGAN 611 Módulo B - s/n - CEP: 70830-502 - Asa Norte,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2005-09-01,3,2023.0,-,,2,2023.0,,,,Ativa,,10-s2.0-124786558,124786558,Faculdade Teológica Batista de Brasília (FTBB),,,['Faculdade Teológica Batista De Brasília (ftbb)'],1,0,0,1
435,ASSOCIACAO SALGADO DE OLIVEIRA DE EDUCACAO E CULTURA,28.638.393/0001-82,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,21861,FACULDADE UNIVERSO BRASÍLIA,-,(21) 2138-4945,www.universo.edu.br,reitoria@nt.universo.edu.br,Quadra QE 11 Área Especial C/D - - - CEP: 71020-631 - Guará I,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2019-09-12,4,2018.0,-,,-,,,,Em supervisão - Procedimento Sancionador,Ativa,,10-s2.0-60021699,60021699,Universidade Salgado de Oliveira,universo.edu.br,http://www.universo.edu.br,"['Salgado de Oliveira University', 'Universidade Salgado de Oliveira']",0,1,1,0
13489,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE BRASILIA",10.791.831/0001-82,Pessoa Jurídica de Direito Público - Federal,14408,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA (IFB)",IFB,061 2103 2154,www.ifb.edu.br,reitoria@ifb.edu.br,"Quadra SAUS Quadra 2, Bloco E (Ed. Siderbrás) - S/N - CEP: 70070-020 - Asa Sul",Brasília,DF,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior,Publica,Pública Federal,2008-12-30,5,2021.0,-,,4,2023.0,,,,Ativa,,10-s2.0-60271899,60271899,"Instituto Federal De Educação, Ciencia E Tecnologia De Brasilia - IFB",ifb.edu.br,https://www.ifb.edu.br/,"['Instituto Federal De Educação, Ciencia E Tecnologia De Brasilia - IFB']",0,1,1,0
15194,POLICIA MILITAR DO DISTRITO FEDERAL,08.942.610/0001-16,Pessoa Jurídica de Direito Público - Federal,16037,Instituto Superior de Ciencias Policiais (ISCP),ISCP,6131906421,www.dec.pm.df.gov.br,pga@iscp.edu.br,Setor SPO - 04 - CEP: 70610-200 - Setores Complementares,Brasília,DF,Faculdade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,2013-08-09,5,2025.0,-,,-,,,,,Ativa,,10-s2.0-116170068,116170068,Instituto Superior de Ciências Policiais,,,"['Instituto Superior De Ciências Policiais', 'Instituto Superior De Ciências Policiais E Do Centro Universitário']",1,0,0,1
278,UNIAO BRASILEIRA DE EDUCACAO CATOLICA,00.331.801/0001-30,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,403,UNIVERSIDADE CATÓLICA DE BRASÍLIA (UCB),UCB,(61) 33569000,www.ucb.br,reitoria@ucb.br;naiara.ns@hotmail.com;naiaras@ucb.b;educacaosuperior@ubec.edu.br,"QS 07, EPCT - LOTE 01 - CEP: 71966-900 - Areal (Águas Claras)",Brasília,DF,Universidade,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1974-03-12,5,2023.0,3,2013.0,4,2023.0,,,,Ativa,,10-s2.0-60020541,60020541,Universidade Católica de Brasília,ucb.catolica.edu.br,https://ucb.catolica.edu.br/portal/,"['Universidade Catolica de Brasilia', 'Universidade Católica de Brasília', 'Catholic University of Brasília']",1,0,0,2
2,FUNDACAO UNIVERSIDADE DE BRASILIA,00.038.174/0001-43,Pessoa Jurídica de Direito Público - Federal,2,UNIVERSIDADE DE BRASÍLIA (UNB),UNB,(61)3107-0254,www.unb.br,unb@unb.br,Campus Universitário Darcy Ribeiro - s/n - CEP: 70910-900 - Asa Norte,Brasília,DF,Universidade,EAD - Superior / Presencial - Superior /,Publica,Pública Federal,1962-01-16,5,2020.0,5,2023.0,5,2023.0,,,,Ativa,,10-s2.0-60024989,60024989,Universidade de Brasília,international.unb.br,https://international.unb.br/,"['Universidade de Brasília', 'University of Brasilia', 'University of Brasília']",1,0,0,1
119,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA,34.075.739/0001-84,Privada com fins lucrativos,1486,Centro Universitário Estácio de Vitória (ESTÁCIO VITÓRIA),ESTÁCIO VITÓRIA,,www.estacio.br,cgfesv@gmail.com;regulatorio.nacional@estacio.br,Rua Doutor Herwan Modenese Wanderley - 1001 - CEP: 29090-640 - Jardim Camburi,Vitória,ES,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,2000-03-31,5,2023.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60022378,60022378,Universidade Estacio de Sa,estacio.br,http://www.estacio.br,"['Estacio de Sa University', 'Universidade Estacio de Sa']",0,1,1,0
119,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA,34.075.739/0001-84,Privada com fins lucrativos,1486,Centro Universitário Estácio de Vitória (ESTÁCIO VITÓRIA),ESTÁCIO VITÓRIA,,www.estacio.br,cgfesv@gmail.com;regulatorio.nacional@estacio.br,Rua Doutor Herwan Modenese Wanderley - 1001 - CEP: 29090-640 - Jardim Camburi,Vitória,ES,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,2000-03-31,5,2023.0,-,,3,2023.0,,,,Ativa,,10-s2.0-60003597,60003597,Universidade Estacio de Sa Faculdade de Medicina,estacio.br,http://www.estacio.br,"['Estacio de Sa University Faculty of Medicine', 'Universidade Estacio de Sa Faculdade de Medicina']",0,1,1,0
17008,FUCAPE PESQUISA E ENSINO S/A,06.105.333/0001-61,Privada com fins lucrativos,22119,ESCOLA DE DIREITO FUCAPE (FUCAPE DIREITO),FUCAPE DIREITO,(27)99311-8477,www.fucape.br,valcemiro@fucape.br,Avenida Fernando Ferrari - 1358 - CEP: 29075-505 - Boa Vista,Vitória,ES,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2019-06-03,5,2024.0,-,,-,,,,,Ativa,,10-s2.0-60198618,60198618,FUCAPE Business School,fucape.br,https://fucape.br/,['FUCAPE Business School'],0,1,1,0
345,IRMANDADE DA SANTA CASA DE MISERICORDIA DE VITORIA,28.141.190/0001-86,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,501,ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA (EMESCAM),EMESCAM,(27)33343509,www.emescam.br,pesquisador@emescam.br,AVENIDA NOSSA SENHORA DA PENHA - 2190 - CEP: 29045-402 - SANTA LUIZA,Vitória,ES,Faculdade,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1968-03-04,5,2017.0,5,2021.0,4,2023.0,,,,Ativa,,10-s2.0-60004200,60004200,Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria,emescam.br,http://www.emescam.br,['Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria'],1,1,1,1
793,SERVICO SOCIAL EDUCACIONAL BENEFICENTE SESEBE,34.078.881/0001-85,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1157,ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS (ESFA),ESFA,(27) 3259 3997,www.esfa.edu.br,diretoria.geral@esfa.edu.br,Rua Bernardino Monteiro - 700 - CEP: 29650-000 - Dois Pinheiros,Santa Teresa,ES,Faculdade,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1998-07-29,5,2024.0,4,2019.0,3,2023.0,,,,Ativa,,10-s2.0-116661373,116661373,Escola Superior São Francisco de Assis,,,[],1,0,0,0
793,SERVICO SOCIAL EDUCACIONAL BENEFICENTE SESEBE,34.078.881/0001-85,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1157,ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS (ESFA),ESFA,(27) 3259 3997,www.esfa.edu.br,diretoria.geral@esfa.edu.br,Rua Bernardino Monteiro - 700 - CEP: 29650-000 - Dois Pinheiros,Santa Teresa,ES,Faculdade,EAD - Superior / Presencial - Superior /,Privada,Privada sem fins lucrativos,1998-07-29,5,2024.0,4,2019.0,3,2023.0,,,,Ativa,,10-s2.0-113987308,113987308,Escola Superior São Francisco de Assis - ESFA,,,"['Escola Superior São Francisco De Assis (esfa)', 'Escola Superior São Francisco De Assis', 'Escola Superior São Francisco De Assis - Esfa']",0,0,0,2
658,SOCIEDADE DE ENSINO SUPERIOR DE VITORIA LTDA,03.904.124/0001-90,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1142,FACULDADE DE DIREITO DE VITÓRIA (FDV),FDV,(27) 3041-3672,www.fdv.br,atividades@fdv.br,Rua Juiz Alexandre Martins de Castro Filho - 215 - CEP: 29056-295 - Santa Lúcia,Vitória,ES,Faculdade,EAD - Superior / Presencial - Superior /,Privada,Privada com fins lucrativos,1995-07-26,5,2019.0,5,2021.0,5,2023.0,,,,Ativa,,10-s2.0-118976760,118976760,Faculdade de Direito de Vitória,,,[],1,0,0,0
17008,FUCAPE PESQUISA E ENSINO S/A,06.105.333/0001-61,Privada com fins lucrativos,22913,Faculdade Escola de Negócios Fucape (FUCAPE FBS),FUCAPE FBS,27 40094444,www.fucape.br,valcemiro@fucape.br,Avenida Fernando Ferrari - 1358 - CEP: 29075-505 - Boa Vista,Vitória,ES,Faculdade,EAD - Superior /,Privada,Privada com fins lucrativos,2024-07-29,-,,5,2022.0,-,,,,"Suspensão contrato FIES, Suspensão PROUNI",Ativa,,10-s2.0-60198618,60198618,FUCAPE Business School,fucape.br,https://fucape.br/,['FUCAPE Business School'],0,1,1,0
119,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA,34.075.739/0001-84,Privada com fins lucrativos,1496,FACULDADE ESTÁCIO DE SÁ DE VILA VELHA (FESVV),FESVV,,www.estacio.br,cgfesvv@gmail.com;regulatorio.nacional@estacio.br,Rua Cabo Aylson Simões Lotes 01 a 06 - 67 - CEP: 29100-320 - Centro,Vila Velha,ES,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2000-05-05,5,2024.0,-,,4,2023.0,,,,Ativa,,10-s2.0-60022378,60022378,Universidade Estacio de Sa,estacio.br,http://www.estacio.br,"['Estacio de Sa University', 'Universidade Estacio de Sa']",0,1,1,0
119,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA,34.075.739/0001-84,Privada com fins lucrativos,1496,FACULDADE ESTÁCIO DE SÁ DE VILA VELHA (FESVV),FESVV,,www.estacio.br,cgfesvv@gmail.com;regulatorio.nacional@estacio.br,Rua Cabo Aylson Simões Lotes 01 a 06 - 67 - CEP: 29100-320 - Centro,Vila Velha,ES,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2000-05-05,5,2024.0,-,,4,2023.0,,,,Ativa,,10-s2.0-60003597,60003597,Universidade Estacio de Sa Faculdade de Medicina,estacio.br,http://www.estacio.br,"['Estacio de Sa University Faculty of Medicine', 'Universidade Estacio de Sa Faculdade de Medicina']",0,1,1,0
17008,FUCAPE PESQUISA E ENSINO S/A,06.105.333/0001-61,Privada com fins lucrativos,2397,FACULDADE FUCAPE (FUCAPE),FUCAPE,(27) 4009 4444,http://www.fucape.br,secretaria@fucape.br,Avenida Fernando Ferrari - 1358 - CEP: 29075-010 - Boa Vista,Vitória,ES,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2004-09-09,5,2018.0,4,2019.0,5,2023.0,,,,Ativa,,10-s2.0-60198618,60198618,FUCAPE Business School,fucape.br,https://fucape.br/,['FUCAPE Business School'],0,1,1,0
17847,NOVO MILENIO EDUCACAO LTDA,36.545.571/0001-59,Privada com fins lucrativos,1308,FACULDADE NOVO MILÊNIO (FNM),FNM,(27) 3399 5555/(27) 3399 2979,www.novomilenio.br,institucional@novomilenio.br,Avenida Santa Leopoldina - 840 - CEP: 29102-375 - Coqueiral de Itaparica,Vila Velha,ES,Faculdade,EAD - Superior / Presencial - Superior /,Privada,Privada com fins lucrativos,1999-05-18,4,2024.0,3,2015.0,3,2023.0,,,,Ativa,,10-s2.0-107136509,107136509,Faculdade Novo Milênio,,,"['Faculdade Novo Milênio', 'Faculdade Novo Milênio (FNM)', 'Faculdade Novo Milênio']",1,0,0,3
17847,NOVO MILENIO EDUCACAO LTDA,36.545.571/0001-59,Privada com fins lucrativos,1308,FACULDADE NOVO MILÊNIO (FNM),FNM,(27) 3399 5555/(27) 3399 2979,www.novomilenio.br,institucional@novomilenio.br,Avenida Santa Leopoldina - 840 - CEP: 29102-375 - Coqueiral de Itaparica,Vila Velha,ES,Faculdade,EAD - Superior / Presencial - Superior /,Privada,Privada com fins lucrativos,1999-05-18,4,2024.0,3,2015.0,3,2023.0,,,,Ativa,,10-s2.0-130939442,130939442,Faculdade Novo Milênio,,,['Faculdade Novo Milênio'],1,0,0,1
