eid,title,published date,cited by count
2-s2.0-85044147480,Cavitation detection in centrifugal pumps driven by frequen cyinverter fed motors,2017-11-08,5
2-s2.0-85044141703,A simple torque estimator for in-service efficiency determination of induction motors,2017-11-08,10
2-s2.0-85044133665,An analysis of frequency response on OLED for lighting applications,2017-11-08,2
2-s2.0-85044128348,Performance investigation of silicon and gallium nitride transistors in an integrated double buck-boost led drwer,2017-11-08,5
2-s2.0-85044124438,Directly feeding large dc loads through pv power plants: A new concept applied to industry,2017-11-08,6
2-s2.0-85044121749,Positioning error estimation of steel strips in steckel rolling process using digital image processing,2017-11-08,5
2-s2.0-85044119196,Modeling and control of a nine-phase induction machine with open phases,2017-11-08,12
2-s2.0-85044112157,Experimental investigation of magnetic field shielding techniques and resulting current derating of underground power cables,2017-11-08,3
2-s2.0-85044110456,Cable parameter calculation for typical industrial installation methods and high-frequency studies,2017-11-08,5
2-s2.0-85044104629,Challenges in using the Physics-of-Failure approach in practical applications,2017-11-08,3
2-s2.0-85042656550,Microalgae-based biorefineries as a promising approach to biofuel production,2017-11-08,22
2-s2.0-85041563445,Comparison of 2L-VSC and MMC-based HVDC Converters: Grid Frequency Support Considering Reduced Wind Power Plants Models,2017-11-08,3
2-s2.0-85041016589,Verification scenarios of onboard databases under the RTCA DO-178C and the RTCA DO-200B,2017-11-08,14
2-s2.0-85040960992,COTS tool qualification using RTCA DO-330: Common pitfalls,2017-11-08,10
2-s2.0-85040796649,A MILP-based algorithm for energy saving in spectrum-sliced elastic optical networks,2017-11-08,4
2-s2.0-85040782000,Using artificial neural network in intrusion detection systems to computer networks,2017-11-08,36
2-s2.0-85040766160,Discretization of linear parameter varying systems in the LFT representation with parameter dependent sampling rates,2017-11-08,0
2-s2.0-85035068135,Characterization of orange oil microcapsules for application in textiles,2017-11-08,5
2-s2.0-85035060607,Anthropometric data collection of Portuguese children using 3D body scanning: Considerations about the scanning booth,2017-11-08,0
2-s2.0-85035059267,Life cycle design and design management strategies in fashion apparel manufacturing,2017-11-08,2
2-s2.0-85035058271,Parametric modelling design applied to weft knitted surfaces and its effects in their physical properties,2017-11-08,3
2-s2.0-85035043409,Flammability on textile of flight crew professional clothing,2017-11-08,6
2-s2.0-85035034932,Fashion showcases design: Perceptions of the showcase in the brazilian popular market,2017-11-08,0
2-s2.0-85035030404,Fashion garment manufacturing - FGM and cyclability theory,2017-11-08,1
2-s2.0-85035029274,A multifunctional cotton fabric using TiO2 and PCMs: Introducing thermal comfort and self-cleaning properties,2017-11-08,12
2-s2.0-85035025203,Trousseau: Economic and design aspects from the second half of 20th century in Brazil,2017-11-08,1
2-s2.0-85035022538,Sizing for the apparel industry using statistical analysis - A Brazilian case study,2017-11-08,4
2-s2.0-85035016417,Anthropometry for children's clothing: Difficulties and limitations,2017-11-08,3
2-s2.0-85035001935,Subjective evaluation of the comfort of popular denim: Elaboration and validation of the the data,2017-11-08,2
2-s2.0-85034996512,A Comparative thermophysiological study in sport bras for running,2017-11-08,2
2-s2.0-85034991130,Social and economic importance of textile reuse and recycling in Brazil,2017-11-08,17
2-s2.0-85034976040,Assessment of toxicity of raw textile wastewater and after its reuse,2017-11-08,2
2-s2.0-85034968359,Textile sustainability: Reuse of clean waste from the textile and apparel industry,2017-11-08,21
2-s2.0-85034963342,"The evaluation of (social-)psychological comfort in clothing, a possible approach",2017-11-08,3
2-s2.0-85034955155,Silk industry and carbon footprint mitigation,2017-11-08,25
2-s2.0-85029526242,Iterative design space exploration for networks requiring performance guarantees,2017-11-08,11
2-s2.0-85052022042,The relationship between timing of development and bus rapid transit,2017-11-07,1
2-s2.0-85044172810,"Heating Ethanol, the 3rd Generation",2017-11-07,2
2-s2.0-85044172272,Questions about Real Driving Emissions in Brazil,2017-11-07,1
2-s2.0-85044171702,Coast Down Curve Computational Modeling and Its Influence on Urban and Highway Autonomy Results,2017-11-07,1
2-s2.0-85044171286,Influence of Cold Working on Mechanical Properties of Al-Zr and Al-Zr-Mg Alloys,2017-11-07,0
2-s2.0-85044170131,Materials Selection for Biodiesel Application Wiring Harness Insulation Materials Testing,2017-11-07,0
2-s2.0-85044169630,A Brief Discussion on Vehicle Coast-Down Comparative Analysis,2017-11-07,3
2-s2.0-85044167735,Exploring Oberst Beam Standard Method for Viscoelastic Materials to Increase Test Confidence and Applicability,2017-11-07,2
2-s2.0-85044167657,Suspension Parameters Estimation of a RWD Vehicle,2017-11-07,0
2-s2.0-85044165485,"On Road Truck Fuel Consumption Measurements in Real Conditions of Application and Speeds up to 90 km/h, Performed by a Towing Trailer with Electromagnetic Brake",2017-11-07,1
2-s2.0-85044165219,Influence of Heat Treatment on Mechanical Properties of Al-Zr and Al-Zr-Mg Alloys,2017-11-07,0
2-s2.0-85044164213,Coating on Striker: Low Coefficient of Friction to Avoid Creak Noise,2017-11-07,1
2-s2.0-85044163896,Effect of Normal Load and Temperature on the Evolution of Topology of Friction Materials,2017-11-07,1
2-s2.0-85044163484,The Use of Split-Injection Technique and Ethanol Lean Combustion on a SIDI Engine Operation for Reducing the Fuel Consumption and Pollutant Emissions,2017-11-07,8
2-s2.0-85044163289,Split-Injection in a Downsized Ethanol SIDI Engine Aiming to Mitigate Pre-Ignition,2017-11-07,8
2-s2.0-85044161329,Study of the Energy Efficiency and Greenhouse Emissions from Motorcycles Powered by Electric and Internal Combustion Engines,2017-11-07,3
2-s2.0-85044160643,Regression Analysis: A Geometric Perspective,2017-11-07,1
2-s2.0-85044159941,Wind Tunnel Balance,2017-11-07,0
2-s2.0-85044157626,Modelling a Rear Bumper of Goods Transport Vehicle Made of Glass Fiber Reinforced Polymer,2017-11-07,4
2-s2.0-85044157504,Advantages and Challenges for Low Viscosity Oils in Emergent Countries,2017-11-07,6
2-s2.0-85044157049,Methodology for Determination and Optimization of Bolted Joints,2017-11-07,0
2-s2.0-85044156662,Methodology for Virtual Analysis of the Dynamic Behavior of Parking Brake Cable Attached to Leaf Spring Suspension,2017-11-07,0
2-s2.0-85044156610,Performance Comparison of Different Chamber designs for Ventilated Disk Brake,2017-11-07,4
2-s2.0-85044156345,Flame Propagation Study in a Single-Cylinder Research Engine with Gaseous Fuel,2017-11-07,3
2-s2.0-85044155948,Experimental Evaluation of Rotational Inertia and Tire Rolling Resistance for a Twin Roller Chassis Dynamometer,2017-11-07,5
2-s2.0-85044155680,A CAE Study on Side Doors Inner Panel Deflection under Glass Stall Up Forces,2017-11-07,0
2-s2.0-85044155474,A Review of Modal Choice Models: Case Study for São Paulo,2017-11-07,0
2-s2.0-85044155227,Computational Simulation of Vertical Dynamics for an Off-Road Vehicle by Using Multibody Models,2017-11-07,1
2-s2.0-85044154911,A discussion on the interaction between Project Management and Systems Engineering to improve the Dependability of Space and Automotive Projects,2017-11-07,0
2-s2.0-85044153222,"Vehicle Integration, Gear Material and Heat Treatment Effects on Rear Axle Whining Noise",2017-11-07,0
2-s2.0-85044152875,Comparative Tribological Behavior of Nitrided and Non-Nitrided SAE XEV-F Valve Steel in Dry Sliding,2017-11-07,1
2-s2.0-85044152421,Fuel Impacts (E0 x E100) on the Acoustic Performance of Exhaust Systems,2017-11-07,0
2-s2.0-85044152223,A Model Based Control Strategy for an Electric Power Assisted Steering,2017-11-07,1
2-s2.0-85044151763,Modeling of an Electric Axial Flux Motor Applied to Electric Vehicles,2017-11-07,0
2-s2.0-85044151717,Viability and Impacts of Hydrogen Economy in Mobility- A Review,2017-11-07,1
2-s2.0-85044151219,Automated System for Verification and Validation of End-of-Line Tests,2017-11-07,2
2-s2.0-85044150822,Multi-Cylinder Torch Ignition System Operating with Homogeneous Charge - Performance and CO2,2017-11-07,1
2-s2.0-85044150290,Evaluation of the Influence of an Alternator with Mechanical Decoupling on Energy Consumption and CO2 Emission in a Flex Fuel Vehicle,2017-11-07,4
2-s2.0-85044149921,An Overview of VCR Technology and Its Effects on a Turbocharged di Engine Fueled with Ethanol and Gasoline,2017-11-07,10
2-s2.0-85044148520,A Study about Imaging Post Processing in Flame Front Detection in an Optical Research Engine Operating with Anhydrous Ethanol,2017-11-07,2
2-s2.0-85044148416,Analysis of a Heat Exchanger for the Cooling Systems of a Vehicular Prototype,2017-11-07,0
2-s2.0-85044148284,Data Synchronization for Offline and Online Identification of Dynamic Systems,2017-11-07,0
2-s2.0-85044147576,Biojet Fuel - A Tool for a Sustainable Aviation Industry - A Technical Assessment,2017-11-07,3
2-s2.0-85044146794,In-Vehicle Experimental Tests to Evaluate the Performance of Alternator Pulleys,2017-11-07,5
2-s2.0-85044146673,Fully Automated Quality Control of Cylinder Bores from Internal Combustion Engines and Its Implications for Industry 4.0,2017-11-07,1
2-s2.0-85044146620,Product Development Process for Suspension Component Aided by Numerical Simulations,2017-11-07,0
2-s2.0-85044146173,Technical and Economic Feasibility Analysis of a Two Stage Reusable Satellite Launcher Using RISCRAM™ Jet Engines,2017-11-07,1
2-s2.0-85044145592,Viability of Application of the Double Layer Technique in Welding Multiple Passes for Vehicle Structure and Heavy Haul Machinery,2017-11-07,0
2-s2.0-85044145572,Virtualization X Real Component: The Advantages of System Modeling on the Automotive Development Process,2017-11-07,4
2-s2.0-85044144908,Comparison of Energy Consumption and CO2 Reduction with Combined Application of the Start and Stop and Intelligent Alternator in a Flex Fuel Vehicle,2017-11-07,3
2-s2.0-85044142650,Analysis of Back Pressure Variation on Macroscopics Characteristics of Ethanol E100 Spray,2017-11-07,1
2-s2.0-85044140907,Three-Dimensional Model Obtained from Reverse Engineering for Analysis of Combustion in an Engine Adapted with Pre-Chamber,2017-11-07,0
2-s2.0-85044140675,Method for Preventing Contamination on Trucks Cabin Side Using CFD,2017-11-07,0
2-s2.0-85044140023,Brazilian Flex Fuel Vehicles Fuel Economy Ratio: Analysis of Current Status and Perspectives,2017-11-07,1
2-s2.0-85044139808,Finite Element Analysis of Spring One-Way Clutch and Torsional Vibration Dampening Systems with Experimental Correlation,2017-11-07,1
2-s2.0-85044138230,Iterative Analysis of Free Acceleration on a Ramp and Free Deceleration (Coast-Down) on a Flat Road for Evaluating Longitudinal Dynamics Parameters of Vehicles,2017-11-07,0
2-s2.0-85044137931,Study of the Effects of Flow Box Utilization on Charge Motion and Mixture Formation in an Internal Combustion Engine,2017-11-07,0
2-s2.0-85044137009,Power Cell Unit (PCU) for Modern HDD Engines,2017-11-07,0
2-s2.0-85044136686,Influence of Spot Welding Parameters on Al-Si Coated 22MnB5 for Automotive Application,2017-11-07,2
2-s2.0-85044135309,Analytical Models for Spring One-Way Clutch and Torsional Vibration Dampening Systems with Experimental Correlation,2017-11-07,3
2-s2.0-85044133363,Making a Regional Belt Drive Rack Electric Power Steering System Global,2017-11-07,0
2-s2.0-85044133296,Automotive Powertrain Test Automation,2017-11-07,3
2-s2.0-85044133027,Design of a New Intake Manifold of a Single Cylinder Engine with Three Stages,2017-11-07,10
2-s2.0-85044131583,Computational Analysis from a Front Chassis Rail Made of Carbon/Epoxy Composite Material,2017-11-07,4
2-s2.0-85044130762,Methodology for Evaluating the Efficiency of Absorbent Materials for Oil Removal in Cases of Environmental Accidents,2017-11-07,0
2-s2.0-85044130135,Application of Aluminum Alloy - Zirconium in Automotive Parts Manufacturing,2017-11-07,1
2-s2.0-85044128970,Automotive Water Pump Methodology using Head Pump and Rotor Power for Correlations,2017-11-07,1
2-s2.0-85044128377,Simulation of Different Endplate Configurations' Efficiency,2017-11-07,0
2-s2.0-85044128173,Agile Methodology: Benefits and Barriers on Its Initial Application,2017-11-07,1
2-s2.0-85044128144,Parameters Estimation of a Tire Model Based on Julien's Theory,2017-11-07,1
2-s2.0-85044127993,Turbocharged Flex Fuel Vehicles with Virtual Ethanol Content Identification,2017-11-07,1
2-s2.0-85044127398,Ride Comfort Analysis of an AWD Vehicle Travelling on Different Types of Pavements,2017-11-07,0
2-s2.0-85044126943,Effects of Internal EGR on the downsized Ethanol SIDI Engine Performance and Emission,2017-11-07,11
2-s2.0-85044124250,Tribological Behavior of DLC and WDLC Carbon Based Coatings during Reciprocating Wear Tests,2017-11-07,3
2-s2.0-85044123951,Coordination and Synchronization in the Internet of Things: Design Issues for Real-time Applications,2017-11-07,0
2-s2.0-85044123143,Proposal for Improving the Performance of Longitudinal Acceleration of a Land Vehicle,2017-11-07,0
2-s2.0-85044120980,Loss of Preload in Bolted Joints: Comparative Analysis between Length Measurement by Ultrasonic Method and Checking Torque Method,2017-11-07,1
2-s2.0-85044120744,Evaluation of the Atomized Jet of Common-Rail Injectors Nozzles Working with Biodiesel,2017-11-07,0
2-s2.0-85044119702,Combustion Analysis of a Current Vehicular Engine Operating in Lean Air-Fuel Conditions,2017-11-07,2
2-s2.0-85044119369,"Vibration Absorber Application, Case Study: Mid-Size Truck Steering Wheel Vibration",2017-11-07,0
2-s2.0-85044119359,Supplier Base Optimization on MWM MAR-I Diesel Engines Launch,2017-11-07,0
2-s2.0-85044116736,Structural Durability Study for Formula SAE Chassis System through Finite Element Method,2017-11-07,0
2-s2.0-85044115245,Deadlock Development on Mechanical Steering Column Lock (MSCL),2017-11-07,0
2-s2.0-85044114783,The Impact of the Autonomous Vehicle in Society and in the Urban Mobility in the City of São Paulo,2017-11-07,0
2-s2.0-85044114438,High Efficiency Flex-Fuel Engines and the End of the 70% Paradigm,2017-11-07,3
2-s2.0-85044113939,Bumper on Striker: Improve Customer Perception Regarding Door Closing Sound Quality,2017-11-07,4
2-s2.0-85044113904,Emissions of Hydrocarbons in a Torch Ignition Engines Operating with Homogeneous Charge,2017-11-07,0
2-s2.0-85044113766,Dynamic simulation and experimental validation of an automotive ignition coil,2017-11-07,1
2-s2.0-85044113676,Design and Manufacture of a Formula SAE Variable Intake Manifold,2017-11-07,7
2-s2.0-85044113626,Tribological Evaluation of Sintered and Conventional Gear Materials,2017-11-07,3
2-s2.0-85044113236,Brazil's Option to Join iGLAD - International Harmonized In-Depth Accident Data,2017-11-07,0
2-s2.0-85044112204,Low Cost Debris Collection Method to Diagnose Wear in a Combustion Engine,2017-11-07,0
2-s2.0-85044111119,Investigation on the Effects of Medium and High Voltage Power Cables in Direct Contact with Vehicles and Passengers,2017-11-07,0
2-s2.0-85044110274,"Influence of Suspension Parameters, Tire-Pressure and Tire-Type on Vehicle Fuel Consumption",2017-11-07,0
2-s2.0-85044109770,The Autonomous Vehicle Challenges for Emergent Market,2017-11-07,4
2-s2.0-85044109600,Multiphysics Rainstorm Simulation Methodology,2017-11-07,0
2-s2.0-85011685022,"Isoniazid: A Review of Characteristics, Properties and Analytical Methods",2017-07-04,61
2-s2.0-85011632738,Applications of deuterium oxide in human health,2017-07-04,15
2-s2.0-85010674383,Phytotoxic effects of Baccharis psiadioides (Asteraceae) volatiles on different phases of plant development,2017-07-04,4
2-s2.0-85055016004,"Adsorption isotherms in liquid phase: Experimental, modeling, and interpretations",2017-07-03,199
2-s2.0-85049935953,Adsorption kinetics in liquid phase: Modeling for discontinuous and continuous systems,2017-07-03,63
2-s2.0-85041750631,"Synthesis and Molecular Structures of Ferrocene and Zirconocene Featuring Bis(di(3,5-di–tert.-butyl)phenylphosphino) Groups",2017-07-03,3
2-s2.0-85030688227,Kinetic study on the thermal degradation of heavy oil in presence of SBA-15 containing aluminum and cerium,2017-07-03,1
2-s2.0-85024832332,Purification of Lactic Acid Produced by Fermentation: Focus on Non-traditional Distillation Processes,2017-07-03,64
2-s2.0-85021876995,Alkaline Pretreatment Severity Leads to Different Lignin Applications in Sugar Cane Biorefineries,2017-07-03,61
2-s2.0-85021874724,"α?Ag2?2xZnxWO4 (0 ≤ × ≤ 0.25) Solid Solutions: Structure, Morphology, and Optical Properties",2017-07-03,44
2-s2.0-85020294177,"Intermolecular Halogenation/Esterification of Alkenes with N-Halosuccinimide and Acetic Acid Catalyzed by 1,4-Diazabicyclo[2.2.2]octane",2017-07-03,25
2-s2.0-85019093321,Combining Copper-Catalyzed Hydroboration with Palladium-Catalyzed Suzuki Coupling for the One-pot Synthesis of Arylallylamines under Micellar Conditions,2017-07-03,9
2-s2.0-85018666064,UPLC-QTOF-MSE-based chemometric approach driving the choice of the best extraction process for Phyllanthus niruri,2017-07-03,5
2-s2.0-85014528233,A critical review about methodologies for the analysis of mucoadhesive properties of drug delivery systems,2017-07-03,84
2-s2.0-85011598904,Optimization and characterization of gelatin from kumakuma (Brachyplatystoma filamentosum) skin Optimización y caracterización de la gelatina de piel de kumakuma (Brachyplatystoma filamentosum),2017-07-03,29
2-s2.0-84979055630,Influence of mechanical surface treatment on fatigue life of bonded joints,2017-07-03,56
2-s2.0-85048049087,"Erratum: Chemical study, predictions in silico and larvicide activity of the essential oil of root philodendron deflexum Poepp. (Journal of Computational and Theoretical Nanoscience (2017) 14:7 (3330-3337) DOI: 10.1166/jctn.2017.6630)",2017-07-01,0
2-s2.0-85044375720,Flow Processing as a Tool for API Production in Developing Economies,2017-07-01,24
2-s2.0-85042286295,"The effect of electrical polarization on electronic structure in LSM electrodes: An operando XAS, RIXS and XES study",2017-07-01,10
2-s2.0-85040914222,Sheep milk: an unexplored food matrix to develop functional foods,2017-07-01,1
2-s2.0-85040903490,A rapid fingerprinting method for sterols in oils and sterol-rich foods,2017-07-01,1
2-s2.0-85031803177,Processing of amazon catfish skins - Dourada (Brachyplathstoma sp.) and Piraíba (Brachyplatystoma sp.),2017-07-01,3
2-s2.0-85030650045,The methylene blue self-aggregation in water/organic solvent mixtures: Relationship between solvatochromic properties and singlet oxygen production,2017-07-01,19
2-s2.0-85030643199,Self-organizing maps neural networks applied to the classification of ethanol samples according to the region of commercialization,2017-07-01,3
2-s2.0-85030643053,Quinquangulin and rubrofusarin: A spectroscopy study,2017-07-01,6
2-s2.0-85030642180,"Effects of Fumarprotocetraric Acid, A Depsidone from the Lichen Cladonia verticillaris, On tyrosinase activity",2017-07-01,7
2-s2.0-85030640412,Cellulase production by trichosporon laibachii,2017-07-01,17
2-s2.0-85030623526,Structural and magnetic characterization of nanostructured iron acetate,2017-07-01,4
2-s2.0-85030622907,Simultaneous voltammetric determination of amlodipine and atorvastatin on anodically pretreated boron-doped diamond electrode,2017-07-01,9
2-s2.0-85029708502,Brazil's pig iron exports,2017-07-01,0
2-s2.0-85028622512,Theoretical estimation of mass transfer coefficients in solution crystallization,2017-07-01,2
2-s2.0-85028063912,Phytochemical analysis and antimicrobial activity of Myrcia tomentosa (Aubl.) DC. leaves,2017-07-01,38
2-s2.0-85027891265,Polyurethane foams for thermal insulation uses produced from castor oil and crude glycerol biopolyols,2017-07-01,64
2-s2.0-85027880906,New heterofunctional supports based on glutaraldehyde-activation: A tool for enzyme immobilization at neutral pH,2017-07-01,51
2-s2.0-85027457904,Ligand-and structure-based drug design of novel calcium channel blockers,2017-07-01,3
2-s2.0-85027447018,"Chemical study, predictions in silico and larvicide activity of the essential oil of root philodendron deflexum poepp",2017-07-01,4
2-s2.0-85026803501,Reduction of alkali loss in an ash leaching system,2017-07-01,0
2-s2.0-85026789093,Buwchitin: A ruminal peptide with antimicrobial potential against Enterococcus faecalis,2017-07-01,22
2-s2.0-85026497734,Chemical modifcation of cellulose isolated from underutilized hibiscus sabdariffa via surface grafting: A potential bio-based resource for industrial application,2017-07-01,10
2-s2.0-85026264268,Evaluation of white liquor sulfidity in kraft pulp quality Avaliação da sulfidez do licor branco na qualidade da celulose kraft,2017-07-01,1
2-s2.0-85026243134,Wood quality control program in Eldorado Brasil Celulose Programa de controle da qualidade da madeira na eldorado brasil celulose,2017-07-01,2
2-s2.0-85025842271,Enabling interconnections: Contributions of the Materials Chemistry Division in 40 years of the Brazilian Chemical Society Promovendo interconexões: Contribuições da Divisão de Química de Materiais nos 40 anos da SBQ,2017-07-01,0
2-s2.0-85025840641,Chemistry teaching and the SBQ 40 years: The growth challenge and the new horizons O Ensino de Química e os 40 anos da SBQ: O desafio do crescimento e os novos horizontes,2017-07-01,0
2-s2.0-85025840505,From boletim Informativo to social media: The evolution in SBQ-members communication Do boletim informativo às redes sociais: A evolução na comunicação SBQ-associado,2017-07-01,0
2-s2.0-85025840411,National Postgraduate System (SNPG) and chemistry area at the Brazilian federal agency for post-graduate education (CAPES) Sistema Nacional de Pós-Graduação e a área de Química na CAPES,2017-07-01,1
2-s2.0-85025840341,Environmental Chemistry in Brazil in 40 years in the SBQ A Química Ambiental no Brasil nos 40 anos da SBQ,2017-07-01,1
2-s2.0-85025838062,The chemistry of natural products in Brazil in the XXI century A Química de Produtos Naturais do Brasil do Século XXI,2017-07-01,19
2-s2.0-85025835827,Medicinal Chemistry progress in Brazil: Advances in the 40 years of the Brazilian Chemical Society A evolução da Química Medicinal no Brasil: Avanços nos 40 anos da Sociedade Brasileira de Química,2017-07-01,11
2-s2.0-85025831734,Fundamental and applied photochemistry during the last 40 years in Brazil A fotoquímica básica e aplicada no Brasil durante os últimos 40 anos,2017-07-01,2
2-s2.0-85025826397,The importance of the Brazilian Chemical Society for the Graduate Programs in Chemistry in Brazil A importância da Sociedade Brasileira de Química na Pós-Graduação em Química no Brasil,2017-07-01,1
2-s2.0-85025822089,A panorama of Catalysis in Brazil in the last 40 years Um panorama da Catálise no Brasil nos últimos 40 anos,2017-07-01,9
2-s2.0-85025821531,"Current status, trends and challenges on Analytical Chemistry in Brazil Química Analítica no Brasil: Atualidades, tendências e desafios",2017-07-01,4
2-s2.0-85025814890,Forty years of development and innovation in Brazilian chemistry Evolução e inovação no setor químico Brasileiro: Uma visão dos últimos quarenta anos,2017-07-01,1
2-s2.0-85025814714,Organic Chemistry in Brazil: Its contribution in the total synthesis of natural products since the Brazilian Chemical Society foundation Química Orgânica no Brasil: Sua contribuição na síntese total de produtos naturais desde a fundação da SBQ,2017-07-01,0
2-s2.0-85025810911,The physical Chemistry division and the forty years of the Brazilian Chemical Society (SBQ) A Divisão de Físico Química e os 40 anos da SBQ,2017-07-01,0
2-s2.0-85025809638,Overview of the Electrochemistry and Electroanalytical chemistry in Brazil Panorama da eletroquímica e eletroanalítica no Brasil,2017-07-01,4
2-s2.0-85025804049,Overview of the Inorganic Chemistry in Brazil revisited: The 2002 to 2016 period Panorama da química inorgânica no Brasil revisitado: Período de 2002 a 2016,2017-07-01,1
2-s2.0-85025105066,Determination of four nadolol stereoisomers in capsules by high-performance liquid chromatography and circular dichroism,2017-07-01,2
2-s2.0-85025102465,Determination of polycyclic aromatic hydrocarbons in commercial parenteral formulations and medications using high-performance liquid chromatography with diode array detection,2017-07-01,10
2-s2.0-85024848874,"Silica-encapsulated CdTe/MPA quantum dots: microstructural, thermal, and chemical stability characterization",2017-07-01,5
2-s2.0-85023609110,Effect of nitrogen and oxygen in the formation of graphitic structures from pyrolysis of amino acids at high pressures,2017-07-01,5
2-s2.0-85022061146,Production of light hydrocarbons from pyrolysis of heavy gas oil and high density polyethylene using pillared clays as catalysts,2017-07-01,29
2-s2.0-85021968684,Ordered PtSn/C electrocatalyst: A high performance material for the borohydride electrooxidation reaction,2017-07-01,4
2-s2.0-85021889139,Recent advances in inductively coupled plasma optical emission spectrometry,2017-07-01,110
2-s2.0-85021756129,Optical Properties of Europium Tetracycline Complexes in the Presence of High-Density Lipoproteins (HDL) Subfractions,2017-07-01,1
2-s2.0-85021755956,A coarse-grained model based on core-oftened potentials for anomalous polymers,2017-07-01,0
2-s2.0-85021738648,Evaluation of the Nutritional Changes Caused by Huanglongbing (HLB) to Citrus Plants Using Laser-Induced Breakdown Spectroscopy,2017-07-01,26
2-s2.0-85021734406,Statistical Aspects of Near-Infrared Spectroscopy for the Characterization of Errors and Model Building,2017-07-01,5
2-s2.0-85021709850,Close-packed structures with finite-range interaction: Computational mechanics of layer pair interaction,2017-07-01,3
2-s2.0-85021679146,Artinm mediates murine T cell activation and induces cell death in jurkat human leukemic T cells,2017-07-01,18
2-s2.0-85021386780,Carbon Modified with Vanadium Nanoparticles for Hydrogen Peroxide Electrogeneration,2017-07-01,11
2-s2.0-85021150327,A theoretical study of the low-lying excited states and the photophysics of dimethoxy curcumin in cyclohexane and acetonitrile,2017-07-01,0
2-s2.0-85021109423,"Electrodeposition of Cu2O: growth, properties, and applications",2017-07-01,82
2-s2.0-85020897356,Stability of rolled-up GaAs nanotubes,2017-07-01,4
2-s2.0-85020869405,Simultaneous determination of gatifloxacin and prednisolone acetate in ophthalmic formulation using first-order UV derivative spectroscopy,2017-07-01,35
2-s2.0-85020851759,Enhanced capacitive deionization desalination provided by chemical activation of sugar cane bagasse fly ash electrodes,2017-07-01,52
2-s2.0-85020781669,Novel Palladium-Catalyzed Oxidative Intramolecular Cyclization of Β-Citronellol with H2O2: A Green and Selective Process to Synthesize Oxocine,2017-07-01,11
2-s2.0-85020653604,EPSP synthase flexibility is determinant to its function: computational molecular dynamics and metadynamics studies,2017-07-01,9
2-s2.0-85020483393,Experimental and theoretical description of the optical properties of Myrcia sylvatica essential oil,2017-07-01,3
2-s2.0-85020301837,Organic electronic solid state device: electrochemistry of material preparation,2017-07-01,8
2-s2.0-85020209096,"Mineral content in fishes in the lower course of the itapecuru river in the state of Maranhão, Brazil",2017-07-01,4
2-s2.0-85020136740,Pyrolysis-gas chromatography–mass spectrometry Kováts retention index of pyrolysis products of lignocellulosic materials,2017-07-01,15
2-s2.0-85020080440,3-Alkenyltyrosines Accessed by Suzuki–Miyaura Coupling: A Key Intermediate in the Synthesis and Mechanistic Study of Povarov Multicomponent Reactions,2017-07-01,9
2-s2.0-85020060855,The spherical-harmonics representation for the interaction between diatomic molecules: The general case and applications to CO–CO and CO–HF,2017-07-01,11
2-s2.0-85020052038,Liver damage induced by succinylacetone: A shared redox imbalance mechanism between tyrosinemia and hepatic porphyrias,2017-07-01,8
2-s2.0-85020045244,Using gold nanoparticles as passive sampler for indoor monitoring of gaseous elemental mercury,2017-07-01,11
2-s2.0-85020044721,Facile synthesis strategy to create mesoporous magnetic iron oxides using pectin-based precursors,2017-07-01,11
2-s2.0-85020039312,Toxic elements and microbiological content of food: Evidence from a case study in a brazilian city heavily contaminated by lead and cadmium,2017-07-01,5
2-s2.0-85020034831,Differential scanning calorimetry and infrared spectroscopy combined with chemometric analysis to the determination of coffee adulteration by corn,2017-07-01,20
2-s2.0-85020023778,Volatile organic compounds (VOCs) emitted by Ilex paraguariensis plants are affected by the herbivory of the lepidopteran Thelosia camina and the coleopteran Hedypathes betulinus,2017-07-01,10
2-s2.0-85020013593,Detection of counterfeit durateston® using fourier transform infrared spectroscopy and partial least squares-discriminant analysis,2017-07-01,13
2-s2.0-85020012022,"Brazoides A-D, New alkaloids from Justicia gendarussa burm. F. species",2017-07-01,13
2-s2.0-85020011139,Secondary metabolites from an infusion of Lippia gracilis schauer using the LC-DAD-SPE/NMR hyphenation technique,2017-07-01,9
2-s2.0-85020002974,Thin-layer chromatography–surface-enhanced Raman spectroscopy and chemometric tools applied to Pilsner beer fingerprint analysis,2017-07-01,14
2-s2.0-85020001484,Brønsted acid-catalyzed dipeptides functionalization through azlactones,2017-07-01,6
2-s2.0-85020000502,Vasoactive thiomethyl-pyrimidines: Promising drug candidates with vascular activity,2017-07-01,9
2-s2.0-85019998172,Direct determination of n-nitrosoglyphosate in technical glyphosate using ion chromatography with UV detection,2017-07-01,1
2-s2.0-85019997749,"Intercalation of molybdate ions into Ni/Zn layered double hydroxide salts: Synthesis, characterization, and preliminary catalytic activity in methyl transesterification of soybean oil",2017-07-01,13
2-s2.0-85019992533,A multi-pumping flow system with pulsed fluidization to evaluate soil capacity for phosphate adsorption,2017-07-01,4
2-s2.0-85019991235,Studies of the interaction between bsa and a plumeran indole alkaloid isolated from the stem bark of aspidosperma cylindrocarpon (Apocynaceae),2017-07-01,19
2-s2.0-85019991044,Electrodeposition study of Ni coatings on copper from choline chloride-based deep eutectic solvents,2017-07-01,23
2-s2.0-85019990972,Determination of chlorophenol in environmental samples using a voltammetric biosensor based on hybrid nanocomposite,2017-07-01,20
